epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,320.259,1.46252,1.66485,1.26318,0.68004,0.51313,0.55168,0.28665,1.38126,1.18924,1.19082,0.00332282,0.00332282,0.00332282
2,636.245,1.41216,1.30678,1.23125,0.58145,0.40338,0.42041,0.19249,1.7418,1.47142,1.46477,0.00652436,0.00652436,0.00652436
3,937.617,1.48514,1.3482,1.2878,0.52927,0.29728,0.29496,0.13202,2.12881,2.19348,1.82711,0.0095939,0.0095939,0.0095939
4,1238.74,1.52349,1.36252,1.31322,0.64607,0.38311,0.43168,0.20752,1.79149,1.73065,1.57372,0.009406,0.009406,0.009406
5,1538.07,1.46429,1.294,1.28837,0.63406,0.47552,0.49915,0.25534,1.62187,1.41519,1.41389,0.009208,0.009208,0.009208
6,1834.55,1.41379,1.22993,1.26464,0.66528,0.50175,0.54936,0.27934,1.61514,1.31288,1.44916,0.00901,0.00901,0.00901
7,2126.37,1.38659,1.19356,1.24844,0.7154,0.48968,0.56041,0.29897,1.52009,1.20684,1.35469,0.008812,0.008812,0.008812
8,2420.68,1.35726,1.16125,1.23444,0.71505,0.52561,0.58854,0.31522,1.47954,1.15062,1.32558,0.008614,0.008614,0.008614
9,2717.47,1.33431,1.13374,1.22433,0.73549,0.48909,0.56948,0.31408,1.46418,1.13981,1.31062,0.008416,0.008416,0.008416
10,3017.57,1.31111,1.1083,1.21043,0.70593,0.54047,0.60378,0.32681,1.48939,1.08245,1.32806,0.008218,0.008218,0.008218
11,3313.15,1.29171,1.08638,1.19948,0.74888,0.54315,0.61958,0.34471,1.41567,1.03471,1.28507,0.00802,0.00802,0.00802
12,3610.3,1.28373,1.07051,1.19342,0.74303,0.55516,0.63553,0.35632,1.39613,1.01491,1.26011,0.007822,0.007822,0.007822
13,3908.67,1.2617,1.05547,1.18551,0.74761,0.56182,0.63584,0.35251,1.40229,1.00292,1.25974,0.007624,0.007624,0.007624
14,4203.93,1.25453,1.03493,1.17747,0.75844,0.55769,0.63703,0.36586,1.3664,0.96786,1.24745,0.007426,0.007426,0.007426
